Date,Price,Open,High,Low,Change%
01-02-2020,5.9566,5.9458,5.9615,5.9415,0.17%
01-01-2020,5.9466,5.9461,5.9491,5.9375,-0.04%
12-31-2019,5.9489,5.9451,5.9521,5.9369,0.02%
12-30-2019,5.9479,5.9521,5.9540,5.9348,-0.04%
12-27-2019,5.9502,5.9261,5.9604,5.9220,0.28%
12-26-2019,5.9335,5.9344,5.9479,5.9289,-0.03%
12-25-2019,5.9350,5.9459,5.9488,5.9260,-0.20%
12-24-2019,5.9468,5.9474,5.9564,5.9250,-0.03%
12-23-2019,5.9486,5.9393,5.9513,5.9135,0.14%
12-20-2019,5.9400,5.9424,5.9469,5.8994,-0.03%
12-19-2019,5.9417,5.9260,5.9475,5.8987,0.26%
12-18-2019,5.9261,5.8866,5.9345,5.8852,0.68%
12-17-2019,5.8860,5.8503,5.8930,5.8441,0.62%
12-16-2019,5.8498,5.8116,5.8625,5.8029,0.72%
12-13-2019,5.8082,5.7885,5.8264,5.7639,0.29%
12-12-2019,5.7914,5.8084,5.8122,5.7585,-0.28%
12-11-2019,5.8074,5.8038,5.8188,5.7880,0.03%
12-10-2019,5.8057,5.8104,5.8205,5.7865,-0.10%
12-09-2019,5.8113,5.7786,5.8201,5.7709,0.60%
12-06-2019,5.7766,5.7458,5.7898,5.7350,0.49%
12-05-2019,5.7485,5.7459,5.7724,5.7364,-0.04%
12-04-2019,5.7508,5.7429,5.7611,5.7304,0.13%
12-03-2019,5.7431,5.7395,5.7645,5.7241,0.03%
12-02-2019,5.7415,5.7488,5.7663,5.7293,-0.10%
11-29-2019,5.7470,5.7496,5.7669,5.7310,-0.20%
11-28-2019,5.7585,5.7795,5.7903,5.7536,-0.34%
11-27-2019,5.7779,5.7575,5.7914,5.7445,0.32%
11-26-2019,5.7597,5.7420,5.7736,5.7316,0.32%
11-25-2019,5.7416,5.7246,5.7611,5.7034,0.50%
11-22-2019,5.7132,5.6890,5.7235,5.6840,0.29%
11-21-2019,5.6966,5.7027,5.7138,5.6830,-0.05%
11-20-2019,5.6997,5.7021,5.7283,5.6856,0.01%
11-19-2019,5.6990,5.7299,5.7422,5.6900,-0.66%
11-18-2019,5.7369,5.7465,5.7566,5.7171,-0.15%
11-15-2019,5.7453,5.7451,5.7702,5.7330,-0.04%
11-14-2019,5.7477,5.7421,5.7820,5.7351,0.13%
11-13-2019,5.7403,5.7746,5.7818,5.7280,-0.65%
11-12-2019,5.7776,5.7702,5.7823,5.7565,0.07%
11-11-2019,5.7733,5.7711,5.7987,5.7598,0.11%
11-08-2019,5.7668,5.7515,5.7712,5.7330,0.25%
11-07-2019,5.7522,5.7521,5.7676,5.7306,0.02%
11-06-2019,5.7508,5.7545,5.7752,5.7419,-0.04%
11-05-2019,5.7533,5.7382,5.7669,5.7145,0.25%
11-04-2019,5.7387,5.7065,5.7413,5.6750,0.46%
11-01-2019,5.7124,5.7251,5.7525,5.7042,-0.01%
10-31-2019,5.7130,5.7072,5.7321,5.6974,0.19%
10-30-2019,5.7020,5.7348,5.7704,5.6925,-0.62%
10-29-2019,5.7373,5.7332,5.7562,5.7145,0.11%
10-28-2019,5.7312,5.7767,5.7785,5.7140,-0.75%
10-25-2019,5.7748,5.7625,5.7917,5.7475,0.18%
10-24-2019,5.7647,5.7345,5.7812,5.7252,0.52%
10-23-2019,5.7351,5.8088,5.8134,5.7240,-1.26%
10-22-2019,5.8084,5.8584,5.8652,5.7835,-0.85%
10-21-2019,5.8582,5.7947,5.8697,5.7778,1.14%
10-18-2019,5.7919,5.8287,5.8325,5.7435,-0.65%
10-17-2019,5.8299,5.8871,5.9315,5.8132,-0.97%
10-16-2019,5.8870,5.9131,5.9321,5.8680,-0.50%
10-15-2019,5.9165,5.9348,5.9414,5.8601,-0.18%
10-14-2019,5.9271,5.8852,5.9383,5.8851,0.71%
10-11-2019,5.8853,5.8347,5.8989,5.8055,0.84%
10-10-2019,5.8365,5.8715,5.9021,5.8178,-0.59%
10-09-2019,5.8712,5.8308,5.8787,5.8113,0.69%
10-08-2019,5.8311,5.8336,5.8517,5.7770,-0.03%
10-07-2019,5.8328,5.7046,5.8452,5.6940,2.40%
10-04-2019,5.6962,5.6926,5.7127,5.6700,0.03%
10-03-2019,5.6947,5.7024,5.7176,5.6650,-0.13%
10-02-2019,5.7020,5.7272,5.7641,5.6963,-0.37%
10-01-2019,5.7231,5.6459,5.7324,5.6370,1.31%
09-30-2019,5.6489,5.6708,5.6772,5.6280,-0.39%
09-27-2019,5.6708,5.6653,5.6894,5.6415,0.09%
09-26-2019,5.6655,5.6706,5.6988,5.6418,-0.09%
09-25-2019,5.6706,5.6993,5.7134,5.6655,-0.47%
09-24-2019,5.6973,5.7158,5.7221,5.6620,-0.35%
09-23-2019,5.7174,5.7430,5.7453,5.7065,-0.46%
09-20-2019,5.7439,5.7150,5.7494,5.6750,0.44%
09-19-2019,5.7187,5.6799,5.7252,5.6678,0.74%
09-18-2019,5.6768,5.7052,5.7116,5.6528,-0.43%
09-17-2019,5.7016,5.7293,5.7451,5.6890,-0.48%
09-16-2019,5.7290,5.6893,5.7461,5.6891,0.75%
09-13-2019,5.6861,5.6556,5.6935,5.6440,0.52%
09-12-2019,5.6566,5.7560,5.7763,5.6555,-1.65%
09-11-2019,5.7515,5.7703,5.7972,5.7428,-0.29%
09-10-2019,5.7683,5.7516,5.7915,5.7397,0.32%
09-09-2019,5.7500,5.7137,5.7660,5.6940,0.60%
09-06-2019,5.7155,5.6916,5.7295,5.6750,0.42%
09-05-2019,5.6917,5.6711,5.7068,5.6452,0.44%
09-04-2019,5.6670,5.7284,5.7347,5.6400,-1.09%
09-03-2019,5.7293,5.8074,5.8232,5.7165,-1.33%
09-02-2019,5.8068,5.8330,5.8419,5.7904,-0.41%
08-30-2019,5.8306,5.8390,5.8514,5.8134,-0.16%
08-29-2019,5.8400,5.8120,5.8481,5.7955,0.46%
08-28-2019,5.8134,5.8307,5.8403,5.7873,-0.24%
08-27-2019,5.8275,5.8296,5.8635,5.7947,0.04%
08-26-2019,5.8252,5.7653,5.8423,5.7647,1.13%
08-23-2019,5.7599,5.7689,5.7774,5.7260,-0.15%
08-22-2019,5.7688,5.7175,5.7899,5.7050,0.92%
08-21-2019,5.7162,5.7358,5.7446,5.7008,-0.22%
08-20-2019,5.7290,5.6622,5.7500,5.6345,1.20%
08-19-2019,5.6609,5.5864,5.6805,5.5611,1.48%
08-16-2019,5.5785,5.5680,5.5867,5.5205,0.19%
08-15-2019,5.5680,5.6143,5.6188,5.5388,-0.80%
08-14-2019,5.6128,5.5611,5.6310,5.5557,0.90%
08-13-2019,5.5629,5.5674,5.6383,5.5489,-0.02%
08-12-2019,5.5640,5.4951,5.5777,5.4898,1.32%
08-09-2019,5.4917,5.4760,5.5138,5.4460,0.25%
08-08-2019,5.4782,5.5000,5.5217,5.4501,-0.28%
08-07-2019,5.4938,5.5202,5.5356,5.4538,-0.49%
