Date,Price,Open,High,Low,Change%
09-11-2020,7.4724,7.4502,7.4828,7.4314,0.33%
09-10-2020,7.4481,7.4889,7.5015,7.3977,-0.49%
09-09-2020,7.4848,7.4850,7.5001,7.4565,0.04%
09-08-2020,7.4817,7.4577,7.4921,7.4390,0.37%
09-07-2020,7.4542,7.4360,7.4696,7.4203,0.28%
09-04-2020,7.4331,7.4352,7.4651,7.3980,-0.01%
09-03-2020,7.4335,7.3860,7.4549,7.3661,0.69%
09-02-2020,7.3822,7.3694,7.4036,7.3475,0.23%
09-01-2020,7.3652,7.3513,7.3789,7.3158,0.25%
08-31-2020,7.3466,7.3314,7.3731,7.3110,0.19%
08-28-2020,7.3329,7.3604,7.3797,7.2727,-0.35%
08-27-2020,7.3587,7.3703,7.3915,7.2857,-0.10%
08-26-2020,7.3662,7.3932,7.4212,7.3133,-0.31%
08-25-2020,7.3893,7.3783,7.4085,7.3533,0.17%
08-24-2020,7.3768,7.3332,7.3860,7.3035,0.55%
08-21-2020,7.3365,7.2986,7.3527,7.1840,0.59%
08-20-2020,7.2938,7.2923,7.3588,7.2640,0.05%
08-19-2020,7.2905,7.3736,7.3881,7.1933,-1.07%
08-18-2020,7.3696,7.3839,7.4036,7.3355,-0.12%
08-17-2020,7.3787,7.3750,7.4014,7.3559,0.17%
08-14-2020,7.3664,7.3383,7.3885,7.3291,0.42%
08-13-2020,7.3354,7.3328,7.3665,7.2655,0.10%
08-12-2020,7.3282,7.2182,7.3484,7.1842,1.75%
08-11-2020,7.2025,7.3351,7.3565,7.1753,-1.78%
08-10-2020,7.3329,7.2898,7.3689,7.2337,0.53%
08-07-2020,7.2941,7.2396,7.3755,7.1085,0.76%
08-06-2020,7.2389,7.0475,7.3215,7.0200,2.71%
08-05-2020,7.0476,6.9015,7.0895,6.8945,2.13%
08-04-2020,6.9008,6.9576,7.0342,6.8868,-0.82%
08-03-2020,6.9578,6.9745,6.9943,6.9472,-0.20%
07-31-2020,6.9720,6.9974,7.0153,6.9570,-0.34%
07-30-2020,6.9955,6.9832,7.0151,6.9402,0.18%
07-29-2020,6.9830,6.9363,7.0076,6.9215,0.69%
07-28-2020,6.9355,6.8625,6.9785,6.8542,1.06%
07-27-2020,6.8625,6.8468,6.9655,6.8355,0.21%
07-24-2020,6.8484,6.8433,6.8547,6.8310,0.07%
07-23-2020,6.8439,6.8510,6.8548,6.8250,-0.10%
07-22-2020,6.8506,6.8247,6.8569,6.8185,0.37%
07-21-2020,6.8254,6.8577,6.8671,6.8165,-0.47%
07-20-2020,6.8578,6.8586,6.8688,6.8445,-0.01%
07-17-2020,6.8587,6.8573,6.8776,6.8436,0.02%
07-16-2020,6.8572,6.8558,6.8660,6.8460,0.02%
07-15-2020,6.8558,6.8639,6.8705,6.8510,-0.12%
07-14-2020,6.8642,6.8602,6.8721,6.8523,0.06%
07-13-2020,6.8602,6.8677,6.8760,6.8422,-0.08%
07-10-2020,6.8658,6.8618,6.8724,6.8504,0.06%
07-09-2020,6.8619,6.8605,6.8693,6.8478,0.02%
07-08-2020,6.8605,6.8595,6.8689,6.8457,0.01%
07-07-2020,6.8595,6.8605,6.8706,6.8453,-0.02%
07-06-2020,6.8609,6.8618,6.8743,6.8359,-0.02%
07-03-2020,6.8623,6.8509,6.9899,6.8404,0.17%
07-02-2020,6.8510,6.8480,6.8591,6.8365,0.05%
07-01-2020,6.8479,6.8534,6.8598,6.8385,-0.07%
06-30-2020,6.8525,6.8549,6.8590,6.8386,-0.03%
06-29-2020,6.8548,6.8539,6.8592,6.8415,0.00%
06-26-2020,6.8546,6.8548,6.8631,6.8403,-0.00%
06-25-2020,6.8549,6.8563,6.8620,6.8265,-0.01%
06-24-2020,6.8558,6.8515,6.8623,6.8362,0.07%
06-23-2020,6.8511,6.8491,6.8627,6.8335,0.04%
06-22-2020,6.8483,6.8478,6.8611,6.8313,-0.07%
06-19-2020,6.8531,6.8563,6.8628,6.8260,-0.05%
06-18-2020,6.8562,6.8448,6.8641,6.8292,0.17%
06-17-2020,6.8448,6.8442,6.8618,6.8253,0.01%
06-16-2020,6.8439,6.8362,6.8540,6.8127,0.11%
06-15-2020,6.8363,6.8136,6.8637,6.8054,0.35%
06-12-2020,6.8126,6.8415,6.8467,6.7930,-0.42%
06-11-2020,6.8414,6.7768,6.8572,6.7667,0.95%
06-10-2020,6.7768,6.7965,6.8029,6.7610,-0.30%
06-09-2020,6.7973,6.7888,6.8096,6.7678,0.14%
06-08-2020,6.7876,6.7673,6.7969,6.7570,0.26%
06-05-2020,6.7700,6.7557,6.7962,6.7325,0.21%
06-04-2020,6.7558,6.7439,6.7723,6.7165,0.17%
06-03-2020,6.7440,6.7048,6.7705,6.6835,0.44%
06-02-2020,6.7145,6.8143,6.8232,6.6870,-1.46%
06-01-2020,6.8142,6.8221,6.8293,6.7905,-0.09%
05-29-2020,6.8202,6.8157,6.8437,6.7975,0.09%
05-28-2020,6.8138,6.7733,6.8245,6.7673,0.59%
05-27-2020,6.7739,6.7280,6.7862,6.7190,0.69%
05-26-2020,6.7275,6.8101,6.8215,6.6957,-1.21%
05-25-2020,6.8100,6.8146,6.8213,6.7983,-0.07%
05-22-2020,6.8147,6.7923,6.8316,6.7818,0.34%
05-21-2020,6.7916,6.7907,6.8188,6.7778,0.01%
05-20-2020,6.7912,6.7775,6.8018,6.7639,0.20%
05-19-2020,6.7775,6.8850,6.8878,6.7536,-1.56%
05-18-2020,6.8851,6.8991,6.9036,6.8235,-0.23%
05-15-2020,6.9012,6.9221,6.9323,6.8928,-0.30%
05-14-2020,6.9220,6.9745,6.9868,6.8988,-0.76%
05-13-2020,6.9748,6.9971,7.0004,6.9647,-0.32%
05-12-2020,6.9971,7.0713,7.0784,6.9699,-1.12%
05-11-2020,7.0762,7.0844,7.1118,7.0530,-0.11%
05-08-2020,7.0840,7.1195,7.1802,7.0575,-0.50%
05-07-2020,7.1195,7.1954,7.2712,7.0623,-1.07%
05-06-2020,7.1968,7.0745,7.2115,7.0624,1.73%
05-05-2020,7.0746,7.0442,7.1038,7.0205,0.45%
05-04-2020,7.0430,7.0158,7.0553,6.9965,0.44%
05-01-2020,7.0120,6.9866,7.0441,6.9785,0.37%
04-30-2020,6.9864,6.9521,6.9963,6.9433,0.49%
04-29-2020,6.9520,6.9868,6.9960,6.9433,-0.50%
04-28-2020,6.9868,6.9862,7.0051,6.9788,0.01%
04-27-2020,6.9861,6.9707,6.9973,6.9450,0.17%
04-24-2020,6.9742,6.9395,6.9970,6.9395,0.40%
04-23-2020,6.9462,6.9797,7.0005,6.9226,-0.47%
04-22-2020,6.9787,6.9812,7.0097,6.9516,-0.04%
04-21-2020,6.9812,6.9394,7.0008,6.9346,0.59%
04-20-2020,6.9402,6.9314,6.9575,6.8714,0.12%
04-17-2020,6.9317,6.9397,6.9584,6.8253,-0.11%
04-16-2020,6.9397,6.9118,6.9605,6.8860,0.40%
04-15-2020,6.9118,6.8153,6.9283,6.8127,1.41%
04-14-2020,6.8155,6.7723,6.8256,6.7603,0.64%
04-13-2020,6.7721,6.7033,6.8018,6.7009,1.07%
04-10-2020,6.7001,6.6746,6.7298,6.6590,0.38%
04-09-2020,6.6746,6.7737,6.7979,6.6164,-1.46%
04-08-2020,6.7737,6.7550,6.7968,6.7512,0.29%
04-07-2020,6.7540,6.7801,6.7895,6.6927,-0.41%
04-06-2020,6.7815,6.7291,6.7951,6.7075,0.75%
04-03-2020,6.7310,6.6137,6.7517,6.6083,1.75%
04-02-2020,6.6153,6.7024,6.7205,6.5891,-1.31%
04-01-2020,6.7030,6.6149,6.7140,6.6087,1.34%
03-31-2020,6.6143,6.5764,6.6272,6.5490,0.56%
03-30-2020,6.5773,6.4549,6.5974,6.4433,1.89%
03-27-2020,6.4550,6.3982,6.4764,6.3885,0.89%
03-26-2020,6.3979,6.4169,6.5117,6.3793,-0.30%
03-25-2020,6.4170,6.4205,6.4773,6.3773,-0.05%
03-24-2020,6.4203,6.5605,6.5740,6.3917,-2.16%
03-23-2020,6.5617,6.5528,6.6185,6.5403,0.14%
03-20-2020,6.5525,6.5438,6.5665,6.4548,0.13%
03-19-2020,6.5439,6.4840,6.5582,6.4653,1.06%
03-18-2020,6.4752,6.4010,6.4945,6.3995,1.22%
03-17-2020,6.3974,6.4313,6.4980,6.3780,-0.53%
03-16-2020,6.4315,6.3310,6.4465,6.2780,1.57%
03-13-2020,6.3321,6.3139,6.3392,6.2400,0.26%
03-12-2020,6.3159,6.2089,6.3210,6.2027,1.72%
03-11-2020,6.2091,6.1584,6.2141,6.1245,0.84%
03-10-2020,6.1575,6.1485,6.1725,6.0996,0.22%
03-09-2020,6.1442,6.0919,6.1951,6.0833,0.86%
03-06-2020,6.0919,6.1097,6.1296,6.0645,-0.30%
03-05-2020,6.1105,6.0785,6.1354,6.0527,0.55%
03-04-2020,6.0773,6.1058,6.1472,6.0547,-0.49%
03-03-2020,6.1070,6.1779,6.2248,6.0307,-1.09%
03-02-2020,6.1743,6.2453,6.2615,6.1575,-1.10%
02-28-2020,6.2427,6.2110,6.2605,6.1950,0.56%
02-27-2020,6.2078,6.1570,6.2115,6.1452,0.79%
02-26-2020,6.1590,6.1441,6.1674,6.1360,0.24%
02-25-2020,6.1441,6.1189,6.1612,6.0659,0.43%
02-24-2020,6.1177,6.0962,6.1624,6.0932,0.35%
02-21-2020,6.0964,6.1002,6.1289,6.0870,-0.07%
02-20-2020,6.1004,6.0825,6.1114,6.0760,0.30%
02-19-2020,6.0823,6.0629,6.0892,6.0447,0.30%
02-18-2020,6.0642,6.0455,6.0765,6.0410,0.32%
02-17-2020,6.0449,6.0542,6.0602,6.0332,-0.09%
02-14-2020,6.0505,6.0377,6.0683,6.0311,0.17%
02-13-2020,6.0405,6.0480,6.0686,6.0353,-0.02%
02-12-2020,6.0420,6.0130,6.0670,5.9960,0.43%
02-11-2020,6.0163,6.0098,6.0501,5.9985,0.09%
02-10-2020,6.0108,6.0164,6.0257,5.9720,-0.07%
02-07-2020,6.0153,5.9869,6.0476,5.9725,0.47%
02-06-2020,5.9874,5.9803,5.9900,5.9726,0.08%
02-05-2020,5.9827,5.9820,5.9920,5.9688,0.04%
02-04-2020,5.9801,5.9843,5.9888,5.9575,-0.07%
02-03-2020,5.9844,5.9829,5.9877,5.9729,0.04%
01-31-2020,5.9822,5.9727,5.9870,5.9639,0.16%
01-30-2020,5.9725,5.9617,5.9934,5.9563,0.27%
01-29-2020,5.9567,5.9409,5.9753,5.9327,0.28%
01-28-2020,5.9403,5.9422,5.9537,5.9260,-0.06%
01-27-2020,5.9440,5.9392,5.9574,5.9290,0.08%
01-24-2020,5.9391,5.9314,5.9478,5.9170,0.08%
01-23-2020,5.9344,5.9220,5.9495,5.8994,0.21%
01-22-2020,5.9222,5.9405,5.9478,5.9150,-0.26%
01-21-2020,5.9376,5.9121,5.9416,5.9107,0.41%
01-20-2020,5.9132,5.8810,5.9218,5.8810,0.38%
01-17-2020,5.8908,5.8574,5.9106,5.8410,0.53%
01-16-2020,5.8597,5.8773,5.8963,5.8350,-0.27%
01-15-2020,5.8758,5.8815,5.9008,5.8654,-0.10%
01-14-2020,5.8819,5.8674,5.9036,5.8579,0.25%
01-13-2020,5.8671,5.8839,5.8845,5.8509,-0.18%
01-10-2020,5.8777,5.8706,5.8966,5.8535,0.06%
01-09-2020,5.8739,5.9093,5.9306,5.8593,-0.60%
01-08-2020,5.9091,5.9710,5.9881,5.8950,-1.06%
01-07-2020,5.9727,5.9677,5.9791,5.9459,0.06%
01-06-2020,5.9690,5.9758,5.9811,5.9631,-0.06%
01-03-2020,5.9723,5.9545,5.9785,5.9460,0.26%
